method,doc_id,field,gold,pred,gold_present,pred_present,exact_match,token_precision,token_recall,token_f1,relaxed_match,hallucination_fraction,hallucinated,overlap_token_count,gold_token_count,pred_token_count,abstract_token_count,sentence_count,verbatim_match_rate,extractiveness_rate,error_type
cluster_kmeans,10070173,Pop,"Comparison of budesonide Turbuhaler with budesonide aqua in the treatment of seasonal allergic rhinitis . ; POPULATION Two hundred and eighty-four out-patients with SAR , who were symptomatic during the ragweed season , volunteered for enrolment ( 243 randomized ) . ; CONCLUSION Once daily use of 256 mg of budesonide aqua and 400 mg of budesonide Turbuhaler are equally safe and efficacious in the treatment of SAR .","Comparison of budesonide Turbuhaler with budesonide aqua in the treatment of seasonal allergic rhinitis . ; OBJECTIVE To compare the effect of budesonide Turbuhaler 400 microg/day with budesonide aqua 256 microg/day in the treatment of seasonal allergic rhinitis ( SAR ) . ; Most patients ( more than 80 % ) achieved substantial control of their symptoms with budesonide . ; The most common nasal and non-nasal adverse events for both groups were epistaxis and headache . ; Turbuhaler was easier to use and more convenient to carry , had less of an unpleasant taste , and caused less nasal irritation than the aqua spray . ; More than twice as many patients preferred Turbuhaler to the aqua spray ( 69 % versus 31 % ) . ; CONCLUSION Once daily use of 256 mg of budesonide aqua and 400 mg of budesonide Turbuhaler are equally safe and efficacious in the treatment of SAR . ; Patients preferred the budesonide powder formulation delivered via Turbuhaler two to one over the aqua formulation .",True,True,False,0.31543624161073824,0.7833333333333333,0.4497607655502392,False,0.0,False,47,60,149,246,16,1.0,1.0,Wrong field / low overlap
cluster_kmeans,10070173,Int,"Comparison of budesonide Turbuhaler with budesonide aqua in the treatment of seasonal allergic rhinitis . ; OBJECTIVE To compare the effect of budesonide Turbuhaler 400 microg/day with budesonide aqua 256 microg/day in the treatment of seasonal allergic rhinitis ( SAR ) . ; Most patients ( more than 80 % ) achieved substantial control of their symptoms with budesonide . ; Turbuhaler was easier to use and more convenient to carry , had less of an unpleasant taste , and caused less nasal irritation than the aqua spray . ; More than twice as many patients preferred Turbuhaler to the aqua spray ( 69 % versus 31 % ) . ; CONCLUSION Once daily use of 256 mg of budesonide aqua and 400 mg of budesonide Turbuhaler are equally safe and efficacious in the treatment of SAR . ; Patients preferred the budesonide powder formulation delivered via Turbuhaler two to one over the aqua formulation .","Comparison of budesonide Turbuhaler with budesonide aqua in the treatment of seasonal allergic rhinitis . ; OBJECTIVE To compare the effect of budesonide Turbuhaler 400 microg/day with budesonide aqua 256 microg/day in the treatment of seasonal allergic rhinitis ( SAR ) . ; Most patients ( more than 80 % ) achieved substantial control of their symptoms with budesonide . ; The most common nasal and non-nasal adverse events for both groups were epistaxis and headache . ; Turbuhaler was easier to use and more convenient to carry , had less of an unpleasant taste , and caused less nasal irritation than the aqua spray . ; More than twice as many patients preferred Turbuhaler to the aqua spray ( 69 % versus 31 % ) . ; CONCLUSION Once daily use of 256 mg of budesonide aqua and 400 mg of budesonide Turbuhaler are equally safe and efficacious in the treatment of SAR . ; Patients preferred the budesonide powder formulation delivered via Turbuhaler two to one over the aqua formulation .",True,True,False,0.8993288590604027,1.0,0.9469964664310955,True,0.0,False,134,134,149,246,16,1.0,1.0,Partial hit
cluster_kmeans,10070173,Out,"Secondarily to ascertain patients ' preferences for the two nasal devices and to assess quality of life . ; RESULTS Mean daily nasal symptom scores were significantly reduced with treatment . ; There were no statistically significant changes from baseline for eye symptoms . ; The most common nasal and non-nasal adverse events for both groups were epistaxis and headache . ; Turbuhaler was easier to use and more convenient to carry , had less of an unpleasant taste , and caused less nasal irritation than the aqua spray . ; Improvement in quality of life from baseline to clinic visits was statistically significant in both groups . ; CONCLUSION Once daily use of 256 mg of budesonide aqua and 400 mg of budesonide Turbuhaler are equally safe and efficacious in the treatment of SAR .",There were no statistically significant changes from baseline for eye symptoms .,True,True,False,1.0,0.09166666666666666,0.16793893129770993,False,0.0,False,11,120,11,246,16,1.0,1.0,Wrong field / low overlap
cluster_kmeans,10390665,Pop,"Anti-emetic efficacy of prophylactic granisetron compared with perphenazine for the prevention of post-operative vomiting in children . ; We have compared the efficacy of granisetron with perphenazine in the prevention of vomiting after tonsillectomy with or without adenoidectomy in children . ; In a prospective , randomized , double-blind study , 90 paediatric patients , ASA I , aged 4-10 years , received granisetron 40 mg kg-1 or perphenazine 70 mg kg-1 ( n = 45 each ) intravenously immediately after an inhalation induction of anaesthesia . ; We conclude that granisetron is a better anti-emetic than perphenazine for the long-term prevention of post-operative vomiting in children undergoing general anaesthesia for tonsillectomy .","Anti-emetic efficacy of prophylactic granisetron compared with perphenazine for the prevention of post-operative vomiting in children . ; We have compared the efficacy of granisetron with perphenazine in the prevention of vomiting after tonsillectomy with or without adenoidectomy in children . ; In a prospective , randomized , double-blind study , 90 paediatric patients , ASA I , aged 4-10 years , received granisetron 40 mg kg-1 or perphenazine 70 mg kg-1 ( n = 45 each ) intravenously immediately after an inhalation induction of anaesthesia . ; A standard general anaesthetic technique was employed throughout . ; A complete response , defined as no emesis with no need for another rescue antiemetic , during the first 3 h ( 0-3 h ) after anesthesia was 87 % with granisetron and 78 % with perphenazine ( P = 0.204 ) . ; The corresponding incidence during the next 21 h ( 3-24 h ) after anaesthesia was 87 % and 62 % ( P = 0.007 ) . ; We conclude that granisetron is a better anti-emetic than perphenazine for the long-term prevention of post-operative vomiting in children undergoing general anaesthesia for tonsillectomy .",True,True,False,0.6139240506329114,1.0,0.7607843137254902,True,0.0,False,97,97,158,170,8,1.0,1.0,Partial hit
cluster_kmeans,10390665,Int,"Anti-emetic efficacy of prophylactic granisetron compared with perphenazine for the prevention of post-operative vomiting in children . ; We have compared the efficacy of granisetron with perphenazine in the prevention of vomiting after tonsillectomy with or without adenoidectomy in children . ; In a prospective , randomized , double-blind study , 90 paediatric patients , ASA I , aged 4-10 years , received granisetron 40 mg kg-1 or perphenazine 70 mg kg-1 ( n = 45 each ) intravenously immediately after an inhalation induction of anaesthesia . ; A complete response , defined as no emesis with no need for another rescue antiemetic , during the first 3 h ( 0-3 h ) after anesthesia was 87 % with granisetron and 78 % with perphenazine ( P = 0.204 ) . ; We conclude that granisetron is a better anti-emetic than perphenazine for the long-term prevention of post-operative vomiting in children undergoing general anaesthesia for tonsillectomy .","Anti-emetic efficacy of prophylactic granisetron compared with perphenazine for the prevention of post-operative vomiting in children . ; We have compared the efficacy of granisetron with perphenazine in the prevention of vomiting after tonsillectomy with or without adenoidectomy in children . ; In a prospective , randomized , double-blind study , 90 paediatric patients , ASA I , aged 4-10 years , received granisetron 40 mg kg-1 or perphenazine 70 mg kg-1 ( n = 45 each ) intravenously immediately after an inhalation induction of anaesthesia . ; A standard general anaesthetic technique was employed throughout . ; A complete response , defined as no emesis with no need for another rescue antiemetic , during the first 3 h ( 0-3 h ) after anesthesia was 87 % with granisetron and 78 % with perphenazine ( P = 0.204 ) . ; The corresponding incidence during the next 21 h ( 3-24 h ) after anaesthesia was 87 % and 62 % ( P = 0.007 ) . ; We conclude that granisetron is a better anti-emetic than perphenazine for the long-term prevention of post-operative vomiting in children undergoing general anaesthesia for tonsillectomy .",True,True,False,0.8291139240506329,1.0,0.9065743944636678,True,0.0,False,131,131,158,170,8,1.0,1.0,Partial hit
cluster_kmeans,10390665,Out,"Anti-emetic efficacy of prophylactic granisetron compared with perphenazine for the prevention of post-operative vomiting in children . ; We have compared the efficacy of granisetron with perphenazine in the prevention of vomiting after tonsillectomy with or without adenoidectomy in children . ; A complete response , defined as no emesis with no need for another rescue antiemetic , during the first 3 h ( 0-3 h ) after anesthesia was 87 % with granisetron and 78 % with perphenazine ( P = 0.204 ) . ; The corresponding incidence during the next 21 h ( 3-24 h ) after anaesthesia was 87 % and 62 % ( P = 0.007 ) . ; No clinically serious adverse events were observed in any of the groups . ; We conclude that granisetron is a better anti-emetic than perphenazine for the long-term prevention of post-operative vomiting in children undergoing general anaesthesia for tonsillectomy .",No clinically serious adverse events were observed in any of the groups .,True,True,False,1.0,0.09448818897637795,0.1726618705035971,False,0.0,False,12,127,12,170,8,1.0,1.0,Wrong field / low overlap
cluster_kmeans,10475150,Pop,"The role of somatostatin ( octreotide ) in the regulation of melatonin secretion in healthy volunteers and in patients with primary hypothyroidism . ; We studied the nocturnal melatonin secretion in 8 healthy volunteers , and 6 women with untreated primary hypothyroidism , a disease state that is associated with increased nocturnal secretion of melatonin . ; During the nights when the healthy volunteers were given octreotide , melatonin secretion was similar to that recorded during administration of saline . ; The patients with hypothyroidism also showed similar nocturnal melatonin secretion during octreotide and saline . ; Since exogenous somatostatin -- in the form of octreotide -- fails to influence nocturnal secretion and urinary excretion of melatonin in normal subjects and in patients with primary hypothyroidism , it is reasonable to assume that endogenous somatostatin may not be an important regulator of melatonin secretion in man .",The participants were given subcutaneous injections at 18:00 h and 23:00 h of either saline or octreotide ( Sandostatin ; each injection 50 microg ) .,True,True,False,0.2916666666666667,0.05384615384615385,0.09090909090909093,False,0.0,False,7,130,24,317,12,1.0,1.0,Wrong field / low overlap
cluster_kmeans,10475150,Int,"The role of somatostatin ( octreotide ) in the regulation of melatonin secretion in healthy volunteers and in patients with primary hypothyroidism . ; Somatostatin has been found in the pineal gland of several animal species , which suggests that it may be involved in the regulation of melatonin secretion . ; Whether somatostatin has regulatory influence on melatonin secretion in man has never been unequivocally shown . ; The participants were given subcutaneous injections at 18:00 h and 23:00 h of either saline or octreotide ( Sandostatin ; each injection 50 microg ) . ; During the nights when the healthy volunteers were given octreotide , melatonin secretion was similar to that recorded during administration of saline . ; By contrast , the GH secretion was significantly lower the nights the healthy controls were given octreotide ( GH AUC 22.6+/-5.4 mU/l x h during octreotide and 126.6+/-21.9 mU/l x h during saline ; p < 0.01 ) . ; The patients with hypothyroidism also showed similar nocturnal melatonin secretion during octreotide and saline . ; The total nocturnal secretion of TSH was , however , significantly reduced by octreotide ( TSH AUC 562+/-136 mU/l x h during octreotide and 851+/-185 mU/l x h during saline ; p < 0.05 ) , thus suggesting that 100 microg of octreotide should be sufficient to inhibit also the pinealocytes if their function were regulated by somatostatin . ; Since exogenous somatostatin -- in the form of octreotide -- fails to influence nocturnal secretion and urinary excretion of melatonin in normal subjects and in patients with primary hypothyroidism , it is reasonable to assume that endogenous somatostatin may not be an important regulator of melatonin secretion in man .",The participants were given subcutaneous injections at 18:00 h and 23:00 h of either saline or octreotide ( Sandostatin ; each injection 50 microg ) .,True,True,False,1.0,0.09125475285171103,0.1672473867595819,False,0.0,False,24,263,24,317,12,1.0,1.0,Wrong field / low overlap
cluster_kmeans,10475150,Out,"The role of somatostatin ( octreotide ) in the regulation of melatonin secretion in healthy volunteers and in patients with primary hypothyroidism . ; Somatostatin has been found in the pineal gland of several animal species , which suggests that it may be involved in the regulation of melatonin secretion . ; Whether somatostatin has regulatory influence on melatonin secretion in man has never been unequivocally shown . ; We studied the nocturnal melatonin secretion in 8 healthy volunteers , and 6 women with untreated primary hypothyroidism , a disease state that is associated with increased nocturnal secretion of melatonin . ; During the nights when the healthy volunteers were given octreotide , melatonin secretion was similar to that recorded during administration of saline . ; Also the urinary excretion of melatonin was of similar magnitude at these two occasions . ; By contrast , the GH secretion was significantly lower the nights the healthy controls were given octreotide ( GH AUC 22.6+/-5.4 mU/l x h during octreotide and 126.6+/-21.9 mU/l x h during saline ; p < 0.01 ) . ; The patients with hypothyroidism also showed similar nocturnal melatonin secretion during octreotide and saline . ; Urinary excretion of melatonin also remained unchanged , as did GH secretion . ; The total nocturnal secretion of TSH was , however , significantly reduced by octreotide ( TSH AUC 562+/-136 mU/l x h during octreotide and 851+/-185 mU/l x h during saline ; p < 0.05 ) , thus suggesting that 100 microg of octreotide should be sufficient to inhibit also the pinealocytes if their function were regulated by somatostatin . ; Since exogenous somatostatin -- in the form of octreotide -- fails to influence nocturnal secretion and urinary excretion of melatonin in normal subjects and in patients with primary hypothyroidism , it is reasonable to assume that endogenous somatostatin may not be an important regulator of melatonin secretion in man .","The role of somatostatin ( octreotide ) in the regulation of melatonin secretion in healthy volunteers and in patients with primary hypothyroidism . ; Somatostatin has been found in the pineal gland of several animal species , which suggests that it may be involved in the regulation of melatonin secretion . ; Whether somatostatin has regulatory influence on melatonin secretion in man has never been unequivocally shown . ; We studied the nocturnal melatonin secretion in 8 healthy volunteers , and 6 women with untreated primary hypothyroidism , a disease state that is associated with increased nocturnal secretion of melatonin . ; During the nights when the healthy volunteers were given octreotide , melatonin secretion was similar to that recorded during administration of saline . ; Also the urinary excretion of melatonin was of similar magnitude at these two occasions . ; By contrast , the GH secretion was significantly lower the nights the healthy controls were given octreotide ( GH AUC 22.6+/-5.4 mU/l x h during octreotide and 126.6+/-21.9 mU/l x h during saline ; p < 0.01 ) . ; The patients with hypothyroidism also showed similar nocturnal melatonin secretion during octreotide and saline . ; Urinary excretion of melatonin also remained unchanged , as did GH secretion . ; The total nocturnal secretion of TSH was , however , significantly reduced by octreotide ( TSH AUC 562+/-136 mU/l x h during octreotide and 851+/-185 mU/l x h during saline ; p < 0.05 ) , thus suggesting that 100 microg of octreotide should be sufficient to inhibit also the pinealocytes if their function were regulated by somatostatin . ; Since exogenous somatostatin -- in the form of octreotide -- fails to influence nocturnal secretion and urinary excretion of melatonin in normal subjects and in patients with primary hypothyroidism , it is reasonable to assume that endogenous somatostatin may not be an important regulator of melatonin secretion in man .",True,True,True,1.0,1.0,1.0,True,0.0,False,293,293,293,317,12,1.0,1.0,Exact hit
cluster_kmeans,10578479,Pop,"Effects of soy intake on sex hormone metabolism in premenopausal women . ; We studied the effects of soy in 36 premenopausal women , 20 of whom used OC . ; Thus soy consumption had no significant effect on the menstrual cycle , serum sex hormones , or urinary estrogen metabolite ratio in premenopausal OC or non-OC users .",null,True,False,False,0.0,0.0,0.0,False,,False,0,51,0,219,9,,,Missing field
