Text,Pop_Extracted,Pop_Status,Pop_Precision,Int_Extracted,Int_Status,Int_Precision,Out_Extracted,Out_Status,Out_Precision
"Comparison of budesonide Turbuhaler with budesonide aqua in the treatment of seasonal allergic rhinitis . Rhinocort Study Group . OBJECTIVE To compare the effect of budesonide Turbuhaler 400 microg/day with budesonide aqua 256 microg/day in the treatment of seasonal allergic rhinitis ( SAR ) . Secondarily to ascertain patients ' preferences for the two nasal devices and to assess quality of life . DESIGN Randomized , multicentre , double-blind , double- dummy , parallel groups study . SETTING Private practices and hospital clinics in Ontario , Quebec and Manitoba . POPULATION Two hundred and eighty-four out-patients with SAR , who were symptomatic during the ragweed season , volunteered for enrolment ( 243 randomized ) . RESULTS Mean daily nasal symptom scores were significantly reduced with treatment . There were no statistically significant changes from baseline for eye symptoms . Most patients ( more than 80 % ) achieved substantial control of their symptoms with budesonide . The most common nasal and non-nasal adverse events for both groups were epistaxis and headache . Turbuhaler was easier to use and more convenient to carry , had less of an unpleasant taste , and caused less nasal irritation than the aqua spray . More than twice as many patients preferred Turbuhaler to the aqua spray ( 69 % versus 31 % ) . Improvement in quality of life from baseline to clinic visits was statistically significant in both groups . CONCLUSION Once daily use of 256 mg of budesonide aqua and 400 mg of budesonide Turbuhaler are equally safe and efficacious in the treatment of SAR . Patients preferred the budesonide powder formulation delivered via Turbuhaler two to one over the aqua formulation .",Two hundred and eighty-four out-patients with SAR,Hit (Relaxed),1.0,budesonide Turbuhaler 400 microg/day,Hit (Relaxed),1.0,substantial control of their symptoms,Hallucinated,0.0
"Anti-emetic efficacy of prophylactic granisetron compared with perphenazine for the prevention of post-operative vomiting in children . We have compared the efficacy of granisetron with perphenazine in the prevention of vomiting after tonsillectomy with or without adenoidectomy in children . In a prospective , randomized , double-blind study , 90 paediatric patients , ASA I , aged 4-10 years , received granisetron 40 mg kg-1 or perphenazine 70 mg kg-1 ( n = 45 each ) intravenously immediately after an inhalation induction of anaesthesia . A standard general anaesthetic technique was employed throughout . A complete response , defined as no emesis with no need for another rescue antiemetic , during the first 3 h ( 0-3 h ) after anesthesia was 87 % with granisetron and 78 % with perphenazine ( P = 0.204 ) . The corresponding incidence during the next 21 h ( 3-24 h ) after anaesthesia was 87 % and 62 % ( P = 0.007 ) . No clinically serious adverse events were observed in any of the groups . We conclude that granisetron is a better anti-emetic than perphenazine for the long-term prevention of post-operative vomiting in children undergoing general anaesthesia for tonsillectomy .",children,Hit (Relaxed),1.0,granisetron,Hit (Relaxed),1.0,prevention of post-operative vomiting,Hit (Relaxed),1.0
"The role of somatostatin ( octreotide ) in the regulation of melatonin secretion in healthy volunteers and in patients with primary hypothyroidism . Somatostatin has been found in the pineal gland of several animal species , which suggests that it may be involved in the regulation of melatonin secretion . Whether somatostatin has regulatory influence on melatonin secretion in man has never been unequivocally shown . We studied the nocturnal melatonin secretion in 8 healthy volunteers , and 6 women with untreated primary hypothyroidism , a disease state that is associated with increased nocturnal secretion of melatonin . The participants were given subcutaneous injections at 18:00 h and 23:00 h of either saline or octreotide ( Sandostatin ; each injection 50 microg ) . During the nights when the healthy volunteers were given octreotide , melatonin secretion was similar to that recorded during administration of saline . Also the urinary excretion of melatonin was of similar magnitude at these two occasions . By contrast , the GH secretion was significantly lower the nights the healthy controls were given octreotide ( GH AUC 22.6+/-5.4 mU/l x h during octreotide and 126.6+/-21.9 mU/l x h during saline ; p < 0.01 ) . The patients with hypothyroidism also showed similar nocturnal melatonin secretion during octreotide and saline . Urinary excretion of melatonin also remained unchanged , as did GH secretion . The total nocturnal secretion of TSH was , however , significantly reduced by octreotide ( TSH AUC 562+/-136 mU/l x h during octreotide and 851+/-185 mU/l x h during saline ; p < 0.05 ) , thus suggesting that 100 microg of octreotide should be sufficient to inhibit also the pinealocytes if their function were regulated by somatostatin . Since exogenous somatostatin -- in the form of octreotide -- fails to influence nocturnal secretion and urinary excretion of melatonin in normal subjects and in patients with primary hypothyroidism , it is reasonable to assume that endogenous somatostatin may not be an important regulator of melatonin secretion in man .",healthy volunteers,Hit (Relaxed),1.0,octreotide (Sandostatin),Hit (Relaxed),1.0,melatonin secretion,Hit (Relaxed),1.0
"Effects of soy intake on sex hormone metabolism in premenopausal women . Studies suggest that phytoestrogens in soy products may impart hormonal effects that protect women against breast cancer . Limited research suggests that intake of soy products high in isoflavonoid phytoestrogens affects sex hormone metabolism , but it is unknown whether phytoestrogens in soy have any effect on menstrual function or serum sex hormones in women on common hormone therapies , such as oral contraceptives ( OC ) . We studied the effects of soy in 36 premenopausal women , 20 of whom used OC . Subjects consumed their normal diet for two menstrual cycles and added a soy beverage containing 20 g of protein and 38 mg of total isoflavones to their usual diet for another two menstrual cycles . No significant differences were observed in serum estrone , estradiol , sex hormone-binding globulin , dehydroepiandrosterone sulfate , prolactin , or progesterone concentrations with soy feeding in the non-OC or the OC group . No changes in menstrual cycle length or the urinary estrogen metabolite ratio of 2-hydroxyestrone to 16 alpha-hydroxyestrone were seen with soy feeding in the non-OC or the OC group . Levels of urinary estrogen metabolites were significantly different between the non-OC and the OC group . Thus soy consumption had no significant effect on the menstrual cycle , serum sex hormones , or urinary estrogen metabolite ratio in premenopausal OC or non-OC users .",premenopausal women,Hit (Relaxed),1.0,soy intake,Hit (Relaxed),1.0,sex hormone metabolism,Hit (Relaxed),1.0
"Clinical effects of root instrumentation using conventional steel or non-tooth substance removing plastic curettes during supportive periodontal therapy ( SPT ) . Although root instrumentation has been accepted as the most important cause-related treatment of periodontal diseases , repeated scaling and root planing may over time result in substantive loss of tooth substance and increased sensitivity of the teeth . In an effort to minimize these side effects of therapy , non-root substance removing curettes have been developed . However , the clinical effects of such plastic curettes with regard to the control of the periodontal infection has not yet been established . The aims of this study were , therefore , to compare the effects of root instrumentation using plastic curettes ( Universal Perio Soft Scaler , Hawe-Neos Dental , Bioggio , TI , Switzerland ) versus conventional steel curettes on the periodontal conditions during supportive periodontal therapy . 40 subjects participated in this parallel , randomized , double blind , prospective longitudinal clinical study following active peridontal therapy . 20 subjects served as a control group and were treated with conventional steel curettes during a supportive periodontal care visit ( SPT ) . The other 20 subjects , the experimental group , were treated using plastic curettes during a similar SPT visit . Clinical parameters , such as bleeding on probing ( BOP ) and probing pocket depth ( PPD ) , were assessed at baseline and 3-6 months later at the next regular SPT visit . In addition , the BOP percentage was determined 10 days following baseline . The results showed that there were no statistically significant differences between the 2 treatment modalities regarding BOP and PPD at any observation time . Both treatments were effective in reducing the BOP percentage which ranged from 17-42 % at baseline by about 40 % after 10 days ( mean BOP baseline : 26 % , mean BOP after 10 days : 16 % ) . This clinical study suggests that non-root substance removing curettes may be valuable instruments for periodontally treated patients during maintenance care , thus minimizing trauma on the hard structures of the teeth .",40 subjects,Hit (Relaxed),1.0,"root instrumentation using plastic curettes (Universal Perio Soft Scaler, Hawe-Neos Dental, Bioggio, TI, Switzerland) versus conventional steel curettes",Hit (Relaxed),1.0,bleeding on probing (BOP) and probing pocket depth (PPD),Hit (Relaxed),1.0
[ Improving wound healing after nose surgery by combined administration of xylometazoline and dexpanthenol ] . BACKGROUND The aim of this study was the examination of efficacy and tolerability of an application-form of the new combination of Xylometazoline with Dexpanthenol ( Nasic ) versus Xylometazoline alone . PATIENTS AND METHODS Randomized verum controlled parallel-group-comparison of two weeks treatment of a nasal-spray . 61 inpatients with the diagnosis Rhinitis following nasal operation were included in this study and 30 patients were treated with verum and placebo each . The assessment of nasal-breathing-resistance according to scores was defined as target-parameter . Confirmatory statistical analysis was carried out according to Wilcoxon-Mann-Whitney-U two-sided at alpha < or = 0.05 . MAIN OUTCOME MEASURE The superiority of the combination of Xylometazoline-Dexpanthenol nasal-spray versus Xylometazoline nasal spray could be proven for the target-parameter as clinically relevant and statistically significant . The clinically proven efficacy is emphasized by good tolerability of both treatments . Due to easy handling of the nasal-spray a good compliance was confirmed . CONCLUSION Distinct improvement of symptoms in patients following nasal operations underlines the efficacy of both medications . With respect to the tolerability therapy with the combination is more beneficial in comparison to the alternative therapy . The result of this controlled clinical study confirms that the combination Xylometazoline-Dexpanthenol is an enlargement and improvement of effective medicinal treatment of rhinitis following nasal operation in comparison to therapy with Xylometazoline alone .,patients following nasal operations,Hit (Relaxed),1.0,Xylometazoline-Dexpanthenol nasal-spray,Hit (Relaxed),1.0,distinct improvement of symptoms,Hit (Relaxed),1.0
"Intrathecal morphine suppresses NK cell activity following abdominal surgery . PURPOSE The effects of morphine on natural killer ( NK ) cell activity were investigated in patients who underwent hysterectomy . METHODS Forty patients were divided into four groups of ten . The groups received intrathecal 0.5 mg morphine ( Group IT0.5 ) , intrathecal 0.1 mg morphine ( Group IT0.1 ) or 10 mg morphine i.v . ( Group IV ) . The remaining ten patients served as controls and received inhalation anesthesia alone ( Group C ) . Blood samples were withdrawn before and two hours after surgery and on postoperative days one and two to determine the blood NK cell activity using a chromium release assay with K562 cells as targets , plasma catecholamines and cortisol levels . The postoperative pain score and side effects were studied in the four groups . RESULTS In Group IT0.5 , the NK cell activity was lower on postoperative day 1 ( 23.9 +/- 8.4 % ) than the baseline level ( 45.7 +/- 13 % ) before surgery , and recovered on postoperative day 2 . In Groups IT0.1 , C and IV , the NK cell activities showed no significant changes . In all four groups , neither plasma adrenaline nor noradrenaline concentrations changed . In all four groups , the plasma cortisol levels increased after surgery , on postoperative days 1 and 2 . The pain score was lower two hours after surgery and on postoperative day 1 in Group IT0.5 than in the other groups . CONCLUSION These results suggest that long-lasting analgesic effects of intrathecal 0.5 mg morphine suppress the immune response following abdominal surgery .",patients who underwent hysterectomy,Hit (Relaxed),1.0,intrathecal 0.5 mg morphine,Hit (Relaxed),1.0,NK cell activity,Hit (Relaxed),1.0
"Effects of low-dose aspirin on clinic and ambulatory blood pressure in treated hypertensive patients . Collaborative Group of the Primary Prevention Project ( PPP ) -- Hypertension study . Nonsteroidal antiinflammatory drugs may affect blood pressure ( BP ) control in hypertensive patients receiving drug treatment , but data on the effects of low-dose aspirin are scanty . This study assessed the effects of chronic treatment with low doses of aspirin ( 100 mg/day ) on clinic and ambulatory systolic ( SBP ) and diastolic ( DBP ) BP in hypertensives on chronic , stable antihypertensive therapy . The study was conducted in the framework of the Primary Prevention Project ( PPP ) , a randomized , controlled factorial trial on the preventive effect of aspirin or vitamin E in people with one or more cardiovascular risk factors . Fifteen Italian hypertension units studied 142 hypertensive patients ( 76 men , 66 women ; mean age 59 +/- 5.9 years ) treated with different antihypertensive drugs : 71 patients were randomized to aspirin and 71 served as controls . All patients underwent a clinic BP evaluation with an automatic sphygmomanometer and a 24-h ambulatory BP monitoring , at baseline and after 3 months of aspirin treatment . At the end of the study the changes in clinic SBP and DBP were not statistically different in treated and untreated subjects . Ambulatory SBP and DBP after 3 months of aspirin treatment were similar to baseline : deltaSBP -0.5 mmHg ( 95 % confidence intervals [ CI ] from -1.9 to +2.9 mm Hg ) and deltaDBP -1.1 mm Hg ( 95 % CI from -2.5 to +0.3 mm Hg ) . The pattern was similar in the control group . No interaction was found between aspirin and the most used antihypertensive drug classes ( angiotensin converting enzyme inhibitors and calcium antagonists ) . Despite the relatively small sample size our results seem to exclude any significant influence of low-dose aspirin on BP control in hypertensives under treatment .",treated hypertensive patients,Hit (Relaxed),1.0,low-dose aspirin (100 mg/day),Hit (Relaxed),1.0,clinic and ambulatory blood pressure,Hit (Relaxed),1.0
"Randomized trial of intensive early intervention for children with pervasive developmental disorder . Young children with pervasive developmental disorder were randomly assigned to intensive treatment or parent training . The intensive treatment group ( 7 with autism , 8 with pervasive developmental disorder not otherwise specified -- NOS ) averaged 24.52 hours per week of individual treatment for one year , gradually reducing hours over the next 1 to 2 years . The parent training group ( 7 with autism , 6 with pervasive developmental disorder NOS ) received 3 to 9 months of parent training . The groups appeared similar at intake on all measures ; however , at follow-up the intensive treatment group outperformed the parent training group on measures of intelligence , visual-spatial skills , language , and academics , though not adaptive functioning or behavior problems . Children with pervasive developmental disorder NOS may have gained more than those with autism .",children with pervasive developmental disorder,Hit (Relaxed),1.0,intensive treatment,Hit (Relaxed),1.0,intelligence,Hit (Relaxed),1.0
"Efficacy and safety of selamectin against fleas and heartworms in dogs and cats presented as veterinary patients in North America . A series of randomized , controlled , masked field studies was conducted to assess the efficacy and safety of selamectin in the treatment of flea infestations on dogs and cats , and in the prevention of heartworm infection in dogs . In addition , observations were made on the beneficial effect of selamectin treatment on dogs and cats showing signs of flea allergy dermatitis ( FAD ) . In all studies selamectin was applied topically , once per month , in unit doses providing a minimum dosage of 6mgkg ( -1 ) . Dogs and cats with naturally occurring flea infestations , some of which also had signs associated with FAD , were assigned randomly to receive three months of topical treatment with selamectin ( 220 dogs , 189 cats ) or a positive-control product ( dogs : fenthion , n=81 ; cats : pyrethrins , n=66 ) . Selamectin was administered on days 0 , 30 , and 60 . Day 0 was defined as the day that the animal first received treatment . Flea burdens were assessed by flea comb counts and clinical evaluations of FAD were performed before treatment , and on days 14 , 30 , 60 , and 90 . On days 30 , 60 , and 90 , mean flea counts in selamectin-treated dogs were reduced by 92.1 , 99.0 , and 99.8 % , and mean flea counts in fenthion-treated dogs were reduced by 81.5 , 86.8 , and 86.1 % , respectively , compared with day 0 counts . Also , on days 30 , 60 , and 90 , mean flea counts in selamectin-treated cats were reduced by 92.5 , 98.3 , and 99.3 % , and mean flea counts in pyrethrin-treated cats were reduced by 66.4 , 73.9 , and 81.3 % , respectively , compared with day 0 counts . Selamectin also was beneficial in alleviating signs in dogs and cats diagnosed clinically with FAD . A total of 397 dogs free of adult heartworm infection from four heartworm-endemic areas of the USA were allocated randomly to six months of treatment with selamectin ( n=298 ) or ivermectin ( n=99 ) . Selamectin achieved a heartworm prevention rate of 100 % , with all dogs testing negative for microfilariae and adult heartworm antigen on days 180 and 300 . Selamectin was administered to a total of 673 dogs and 347 cats having an age range of 6 weeks to 19 years ( 3954 doses ) . The animals included 19 purebred or crossbred Collies ( Bearded , Border , and unspecified ) . There were no serious adverse events . Results of these studies indicated that selamectin was highly effective in the control of flea infestations in dogs and cats without the need for simultaneous treatment of the environment or of in-contact animals and also was beneficial in alleviating signs associated with FAD . Selamectin also was 100 % effective in preventing the development of canine heartworms and was safe for topical use in dogs and cats .",dogs and cats presented as veterinary patients in North America,Hit (Relaxed),1.0,selamectin,Hit (Relaxed),1.0,"flea infestations on dogs and cats, and in the prevention of heartworm infection in dogs",Hallucinated,0.0
