method,doc_id,pred_field,best_gold_field,best_f1,own_f1,contaminated
cluster_kmeans,10070173,Pop,Int,0.9469964664310955,0.4497607655502392,True
cluster_kmeans,10070173,Int,Int,0.9469964664310955,0.9469964664310955,False
cluster_kmeans,10070173,Out,Out,0.16793893129770993,0.16793893129770993,False
cluster_kmeans,10390665,Pop,Int,0.9065743944636678,0.7607843137254902,True
cluster_kmeans,10390665,Int,Int,0.9065743944636678,0.9065743944636678,False
cluster_kmeans,10390665,Out,Out,0.1726618705035971,0.1726618705035971,False
cluster_kmeans,10475150,Pop,Int,0.1672473867595819,0.09090909090909093,False
cluster_kmeans,10475150,Int,Int,0.1672473867595819,0.1672473867595819,False
cluster_kmeans,10475150,Out,Out,1.0,1.0,False
cluster_kmeans,10578479,Pop,None,0.0,0.0,False
cluster_kmeans,10578479,Int,None,0.0,0.0,False
cluster_kmeans,10578479,Out,Int,0.8883248730964467,0.8225806451612903,True
cluster_kmeans,10589810,Pop,Int,0.568561872909699,0.21774193548387094,True
cluster_kmeans,10589810,Int,Int,0.568561872909699,0.568561872909699,False
cluster_kmeans,10589810,Out,Out,0.5464480874316939,0.5464480874316939,False
cluster_kmeans,10763172,Pop,Int,0.7739938080495355,0.6056338028169015,True
cluster_kmeans,10763172,Int,Int,0.7739938080495355,0.7739938080495355,False
cluster_kmeans,10763172,Out,None,0.0,0.0,False
cluster_kmeans,10764172,Pop,Out,0.6904761904761905,0.21428571428571427,True
cluster_kmeans,10764172,Int,Out,0.6904761904761905,0.5427509293680297,True
cluster_kmeans,10764172,Out,Out,0.46994535519125685,0.46994535519125685,False
cluster_kmeans,10912743,Pop,None,0.0,0.0,False
cluster_kmeans,10912743,Int,None,0.0,0.0,False
cluster_kmeans,10912743,Out,Int,0.9416058394160584,0.7916666666666666,True
cluster_kmeans,10934569,Pop,None,0.0,0.0,False
cluster_kmeans,10934569,Int,None,0.0,0.0,False
cluster_kmeans,10934569,Out,None,0.0,0.0,False
cluster_kmeans,10940525,Pop,Int,0.9214659685863874,0.7610619469026548,True
cluster_kmeans,10940525,Int,Int,0.9214659685863874,0.9214659685863874,False
cluster_kmeans,10940525,Out,Out,0.1314878892733564,0.1314878892733564,False
cluster_kmeans,11099086,Pop,Int,0.8033898305084746,0.588,True
cluster_kmeans,11099086,Int,Int,0.8033898305084746,0.8033898305084746,False
cluster_kmeans,11099086,Out,None,0.0,0.0,False
cluster_kmeans,11229858,Pop,Pop,1.0,1.0,False
cluster_kmeans,11229858,Int,Pop,1.0,1.0,False
cluster_kmeans,11229858,Out,None,0.0,0.0,False
